,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,RULES,welding speed (m/min),0.7785812392042817,0.8616628244765994,gas flow rate (l/min),9.578013802459365,11.339954486252264,angular position (째),13.740118736577102,15.22755142188636,"SCORES: s, c, l, score",0.041666666666666664,0.75,0.0375,0.8291666666666666
1,RULES,gas flow rate (l/min),14.948115044198383,15.632485281197347,welding speed (m/min),0.8,0.8289907009742599,"SCORES: s, c, l, score",0.03611111111111111,0.65,0.0325,0.7186111111111111,,,
2,RULES,gas flow rate (l/min),13.607416410505406,15.059868075592776,material thickness (mm),0.4658726979591787,0.5045689554173686,"SCORES: s, c, l, score",0.03611111111111111,0.65,0.0325,0.7186111111111111,,,
3,RULES,welding speed (m/min),0.8,0.8455161817957859,angular position (째),14.368999511437018,15.836058350877316,"SCORES: s, c, l, score",0.07777777777777778,0.4666666666666667,0.0077777777777777776,0.5522222222222223,,,
4,RULES,welding speed (m/min),0.8,0.8510695486305723,focal position (mm),1.7372692297013401,2.0420539714936994,material thickness (mm),0.4985039563846745,0.5152991477465906,"SCORES: s, c, l, score",0.03611111111111111,0.325,0.008125,0.3692361111111111
5,RULES,gas flow rate (l/min),9.738773585987389,11.53914770945786,"SCORES: s, c, l, score",0.09166666666666666,0.2357142857142857,0.0016836734693877551,0.32906462585034013,,,,,,
6,RULES,angular position (째),14.368999511437018,15.836058350877316,"SCORES: s, c, l, score",0.08888888888888889,0.22857142857142856,0.0016326530612244896,0.31909297052154195,,,,,,
7,RULES,welding speed (m/min),0.7999999999999999,0.8616628244765994,gas flow rate (l/min),9.738773585987389,11.53914770945786,"SCORES: s, c, l, score",0.041666666666666664,0.25,0.004166666666666667,0.29583333333333334,,,
8,RULES,welding speed (m/min),0.8,0.8286104614557321,"SCORES: s, c, l, score",0.07777777777777778,0.2,0.0014285714285714286,0.27920634920634924,,,,,,
9,RULES,angular position (째),-1.3188395860922189,0.9803078629550561,"SCORES: s, c, l, score",0.05,0.225,0.0028125,0.2778125,,,,,,
